epoch,d_train_ce,d_valid_ce
0,0.0,823.6232299804688
1,0.0,2472.6923828125
2,0.0,5808.86669921875
3,0.0,10006.2119140625
4,0.0,13329.748046875
5,0.0,18929.19921875
6,0.0,23089.916015625
7,0.0,32587.732421875
8,0.0,37557.703125
9,0.0,48676.93359375
10,0.0,56688.05859375
11,0.0,64761.26953125
12,0.0,84290.7890625
13,0.0,80707.5234375
14,0.0,103549.5234375
15,0.0,106371.1171875
16,0.0,115564.8359375
17,0.0,128248.9296875
18,0.0,135965.140625
19,0.0,154836.140625
20,0.0,172236.5625
21,0.0,184958.875
22,0.0,186584.453125
23,0.0,222926.53125
24,0.0,216740.84375
25,0.0,226895.53125
26,0.0,248842.625
27,0.0,277579.875
28,0.0,269351.09375
29,0.0,276453.59375
30,0.0,309609.59375
31,0.0,336001.34375
32,0.0,329019.25
33,0.0,352715.125
34,0.0,345963.875
35,0.0,391742.5
36,0.0,387802.4375
37,0.0,422347.875
38,0.0,447492.40625
39,0.0,445622.4375
40,0.0,474160.46875
41,0.0,469486.15625
42,0.0,505690.375
43,0.0,542904.25
44,0.0,527942.625
45,0.0,548312.875
46,0.0,583820.0
47,0.0,561430.875
48,0.0,594198.125
49,0.0,597517.9375
